"Do.you.celebrate.Christmas.","What.do.you.typically.do.on.Christmas..Select.all.that.apply.","When.you..celebrate.Christmas...is.the.celebration.larger.on.the.24th.or.25th.of.December.","Do.you.attend.religious.service.on.Christmas.","When.you.were.under.18..did.you.receive.gifts.from.your.parents.for.Christmas.","If.you.answered...Yes..and.they.claimed.they.were.from.Santa..to.the.previous.question..at.what.age.did.you.realize.Santa.wasn.t.real.","Which.of.the.following.desserts.candies.do.you.consume.on.Christmas.","Which.of.the.following.beverages.do.you.consume.on.Christmas.","Which.of.the.following.foods.do.you.consume.on.Christmas.","Describe.Christmas.in.three.words","What.do.you.typically.do.on.Christmas..Select.all.that.apply..1","When.you.were.under.18..did.you.receive.gifts.from.your.parents.for.Christmas..1","If.you.answered...Yes..and.they.claimed.they.were.from.Santa..to.the.previous.question..at.what.age.did.you.realize.Santa.wasn.t.real..1","Describe.Christmas.in.three.words.1","What.is.your.gender.","What.is.your.age.group.","How.would.you.describe.your.religion.","Do.you.attend.religious.services.regularly.","How.would.you.describe.your.religion.before.you.were.18.","How.frequently.did.you.attend.religious.services.before.you.were.18.","Which.region.of.the.US.do.you.live.in."
"Yes","Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends","Both are about the same","Never","Yes, and they claimed they were from Santa",6,"Candy Canes;Cookies;Pie (any);Pie (pumpkin)","","Bread rolls","Cozy sparkly love","","",NA,"","Female","25-34","Atheist/agnostic","Never","Atheist/agnostic","Never","Southeast"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Not anymore","Yes, and they claimed they were from Santa",0,"Christmas cake/fruit cake;Cookies;Gingerbread","Apple cider;Eggnog;Wine","Bread rolls;Ham;Mashed potatoes;Stuffing/Dressing","Very Good Times","","",NA,"","Male","25-34","Christianity, other","Rarely","Christianity, other","1-2 times a month","I do not live in the United States"
"Yes","Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Not anymore","Yes, and they claimed they were from Santa",8,"Candy Canes;Cookies;Pie (any);Pie (pecan)","Apple cider","Bread rolls","Food presents family","","",NA,"","Male","18-24","Atheist/agnostic","Never","Christianity, Evangelical","3+ times a month","Midwest"
"No","","","","",NA,"","","","","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","Yes, and they claimed they were from Santa",8,"Winter Soltice only","Female","45-54","Other","Rarely","Other","Rarely","West"
"No","","","","",NA,"","","","","Spend time with family","Yes, and they claimed they were from Santa",13,"Objectified war-torn stolen","Other","25-34","Other","Never","Christianity, non-Evangelical Protestant","1-2 times a month","Northeast"
"No","","","","",NA,"","","","","","No",NA,"normal everyday indifferent","Male","25-34","Atheist/agnostic","Never","Atheist/agnostic","Never","I do not live in the United States"
"Yes","Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Never","Yes, but they didn't say they were from Santa",NA,"Gingerbread;Pie (any);Pie (pumpkin)","","Chicken;Ham;Turkey","H h g","","",NA,"","Male","18-24","Atheist/agnostic","Never","Atheist/agnostic","Never","West"
"Yes","Spend time with family;Spend time with friends;See a movie in a theater;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends;Wear an ugly sweater","24th","Never","Yes, and they claimed they were from Santa",12,"Candy Canes;Christmas cake/fruit cake;Cookies;Pie (any);Pie (apple);Pie (pumpkin);Pie (pecan)","Apple cider","Bread rolls;Chicken;Ham;Macaroni and cheese;Mashed potatoes;Stuffing/Dressing","Family vacation food","","",NA,"","Male","25-34","Christianity, Evangelical","3+ times a month","Christianity, Evangelical","3+ times a month","Midwest"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","24th","Always/almost always","Yes, and they claimed they were from Santa",9,"Cookies","Eggnog;Wine","Bread rolls;Ham;Macaroni and cheese;Mashed potatoes","Cheerful Spirited Joyful","","",NA,"","Female","18-24","Christianity, Catholic","Rarely","Christianity, Catholic","1-2 times a month","Midwest"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Always/almost always","Yes, but they didn't say they were from Santa",NA,"Candy Canes;Cookies;Gingerbread;Pie (pecan)","Apple cider;Champagne","Bread rolls;Ham;Mashed potatoes;Stuffing/Dressing","joy family Jesus","","",NA,"","Female","18-24","Christianity, Evangelical","3+ times a month","Christianity, Evangelical","3+ times a month","Midwest"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Not anymore","Yes, and they claimed they were from Santa",10,"Cookies;Gingerbread","Apple cider;Wine","Bread rolls;Mashed potatoes","Warm bright weird","Spend time with family","Yes, and they claimed they were from Santa",10,"warm bright weird","Female","18-24","Other","Never","Christianity, other","Rarely","Midwest"
"Yes","Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Never","Yes, and they claimed they were from Santa",11,"Candy Canes;Cookies;Gingerbread;Pie (apple);Pie (pumpkin);Pie (pecan)","Eggnog","Bread rolls;Ham;Mashed potatoes;Stuffing/Dressing;Turkey","Capitalistic Stressful Sugar-coated","","",NA,"","Female","18-24","Atheist/agnostic","Never","Atheist/agnostic","Never","Southwest"
"Yes","Spend time with family;Spend time with friends;See a movie in a theater;Eat a large meal prepared by family or friends;Wear an ugly sweater","25th","Not anymore","Yes, and they claimed they were from Santa",7,"Candy Canes","","Chicken","family snow sweater","","",NA,"","Female","25-34","Atheist/agnostic","Rarely","Christianity, non-Evangelical Protestant","Rarely","Midwest"
"Yes","Spend time with family","25th","Not anymore","Yes, but they didn't say they were from Santa",NA,"Cookies;Pie (any);Pie (pecan)","Eggnog","Bread rolls;Mashed potatoes;Stuffing/Dressing","Family fun food","","",NA,"","Male","55+","Christianity, non-Evangelical Protestant","Rarely","Christianity, Catholic","3+ times a month","Southwest"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Always/almost always","Yes, and they claimed they were from Santa",NA,"Cookies","Eggnog","","Fun overdone love","","",NA,"","Female","45-54","Christianity, Catholic","3+ times a month","Christianity, Catholic","3+ times a month","Midwest"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","24th","Never","Yes, but they didn't say they were from Santa",NA,"Gingerbread","Wine","Prime Rib","the best time","","",NA,"","Male","18-24","Atheist/agnostic","Never","Atheist/agnostic","Rarely","I do not live in the United States"
"Yes","Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","Both are about the same","Never","Yes, and they claimed they were from Santa",5,"Cookies","","Bread rolls;Macaroni and cheese","Gathering Giving Love","","",NA,"","Male","Under 18","Atheist/agnostic","Never","I am still under 18","I am still under 18","Northeast"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","Both are about the same","Never","Yes, and they claimed they were from Santa",8,"Candy Canes;Cookies","Wine","Bread rolls;Mashed potatoes;Stuffing/Dressing;Turkey","Warm grateful family","","",NA,"","Female","18-24","Atheist/agnostic","Never","Christianity, Catholic","Never","I do not live in the United States"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Always/almost always","Yes, but they didn't say they were from Santa",NA,"Cookies;Pie (any)","Eggnog;Wine","Bread rolls;Ham;Mashed potatoes","Great Family Times","","",NA,"","Male","55+","Christianity, Catholic","3+ times a month","Christianity, Catholic","3+ times a month","West"
"Yes","Attend religious service;Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","Both are about the same","Sometimes","Yes, but they didn't say they were from Santa",NA,"Christmas cake/fruit cake;Cookies;Pie (pumpkin);Pie (pecan)","Eggnog","Bread rolls;Ham;Macaroni and cheese;Mashed potatoes;Turkey","Love Jesus family","","",NA,"","Male","45-54","Christianity, Evangelical","1-2 times a month","Christianity, Evangelical","3+ times a month","Southeast"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Never","Yes, but they didn't say they were from Santa",NA,"Pie (pumpkin)","Champagne;Eggnog;Wine","Bread rolls;Ham;Mashed potatoes;Stuffing/Dressing;Turkey","american excess fred","","",NA,"","Other","35-44","Atheist/agnostic","Never","Atheist/agnostic","Never","Southwest"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Never","Yes, and they claimed they were from Santa",6,"Cookies;Pie (any)","","Bread rolls;Ham","Its fine ig","","",NA,"","Female","Under 18","Other","Never","I am still under 18","I am still under 18","Northeast"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends;Wear an ugly sweater","Both are about the same","Sometimes","Yes, and they claimed they were from Santa",9,"Candy Canes;Cookies;Pie (any);Pie (pecan)","Eggnog","Bread rolls;Ham;Stuffing/Dressing;Turkey","Sweet spiritual together","","",NA,"","Female","55+","Christianity, Evangelical","3+ times a month","Christianity, Evangelical","3+ times a month","Southeast"
"Yes","Attend religious service;Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Sometimes","Yes, and they claimed they were from Santa",9,"Candy Canes;Cookies;Pie (any)","Eggnog","Bread rolls;Ham","Birth of Christ","","",NA,"","Female","25-34","Christianity, Evangelical","3+ times a month","Christianity, Evangelical","3+ times a month","Midwest"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Never","Yes, and they claimed they were from Santa",8,"Candy Canes","Champagne","Mashed potatoes;Stuffing/Dressing;Turkey","family presents festive","","",NA,"","Female","18-24","Atheist/agnostic","Never","Atheist/agnostic","Never","I do not live in the United States"
"No","","","","",NA,"","","","","Spend time with family","Yes, and they claimed they were from Santa",10,"Irritating Excessive Consumption","Female","55+","Christianity, other","Never","Christianity, other","3+ times a month","Northeast"
"Yes","Spend time with friends;Exchange gifts with family and/or friends","Both are about the same","Never","No",NA,"Gingerbread","Champagne;Wine","Fish;Ham;Mashed potatoes","Celebration fun friends","","",NA,"","Female","18-24","Atheist/agnostic","Rarely","Christianity, other","Rarely","I do not live in the United States"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Never","Yes, and they claimed they were from Santa",8,"Candy Canes;Cookies;Pie (any)","","Bread rolls;Ham;Macaroni and cheese;Mashed potatoes;Turkey","Ho ho ho","","",NA,"","Male","35-44","Atheist/agnostic","Never","Christianity, Catholic","1-2 times a month","Southwest"
"Yes","Exchange gifts with family and/or friends","Both are about the same","Sometimes","Yes, and they claimed they were from Santa",8,"Cookies","Eggnog","Turkey","Joy peace wonder","","",NA,"","Male","55+","Christianity, other","Rarely","Christianity, non-Evangelical Protestant","3+ times a month","Midwest"
"Yes","Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Never","Yes, and they claimed they were from Santa",8,"","","Bread rolls;Mashed potatoes;Stuffing/Dressing","Gifts family food","","",NA,"","Female","18-24","Atheist/agnostic","Never","Other","Never","Southeast"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","Both are about the same","Never","Yes, and they claimed they were from Santa",11,"Cookies;Pie (any)","Champagne;Eggnog","Bread rolls;Ham;Mashed potatoes;Stuffing/Dressing;Turkey","Family gifts food","","",NA,"","Female","25-34","Other","Never","Christianity, non-Evangelical Protestant","3+ times a month","Southeast"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends;Wear an ugly sweater","Both are about the same","Sometimes","Yes, and they claimed they were from Santa",5,"Candy Canes;Cookies;Pie (apple)","Apple cider;Wine","Chicken;Ham;Mashed potatoes","comfortable joy relaxation","","",NA,"","Female","18-24","Christianity, non-Evangelical Protestant","3+ times a month","Christianity, non-Evangelical Protestant","3+ times a month","Midwest"
"Yes","Spend time with friends","25th","Not anymore","Yes, and they claimed they were from Santa",9,"Candy Canes;Cookies;Gingerbread;Pie (any)","Wine","Bread rolls;Mashed potatoes;Stuffing/Dressing","Stressful hectic sad","","",NA,"","Male","18-24","Atheist/agnostic","Never","Other","3+ times a month","I do not live in the United States"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Never","Yes, and they claimed they were from Santa",11,"Candy Canes;Cookies","Wine","Bread rolls;Ham","Warm happy family","","",NA,"","Male","18-24","Atheist/agnostic","Never","Atheist/agnostic","Never","Midwest"
"Yes","Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends;Wear an ugly sweater","Both are about the same","Not anymore","Yes, and they claimed they were from Santa",7,"Candy Canes;Cookies;Gingerbread;Pie (any)","","Bread rolls;Chicken;Ham;Macaroni and cheese;Mashed potatoes;Stuffing/Dressing;Turkey","pretty cool neat","","",NA,"","Male","Under 18","Christianity, Evangelical","1-2 times a month","Christianity, Evangelical","I am still under 18","Northeast"
"Yes","Attend religious service;Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","Both are about the same","Always/almost always","Yes, and they claimed they were from Santa",NA,"Candy Canes;Cookies;Pie (any)","Apple cider;Champagne;Wine","Fish;Ham;Mashed potatoes","Loved ones celebrating","","",NA,"","Female","25-34","Christianity, non-Evangelical Protestant","1-2 times a month","Christianity, Evangelical","3+ times a month","Southeast"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Sometimes","Yes, and they claimed they were from Santa",13,"Candy Canes;Cookies;Gingerbread","Apple cider;Buttered rum;Champagne","Bread rolls;Ham;Macaroni and cheese;Mashed potatoes","Merry joyous fun","","",NA,"","Female","35-44","Christianity, Evangelical","3+ times a month","Christianity, Evangelical","3+ times a month","Southwest"
"No","","","","",NA,"","","","","","Yes, but they didn't say they were from Santa",NA,"Unremarkable Burdensome Overrated","Female","18-24","Atheist/agnostic","Never","Atheist/agnostic","Never","I do not live in the United States"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","Both are about the same","Always/almost always","Yes, and they claimed they were from Santa",9,"Candy Canes;Cookies;Pie (any);Pie (pecan)","Champagne;Eggnog;Wine","Bread rolls;Ham;Prime Rib;Stuffing/Dressing;Turkey","Family food fun","","",NA,"","Female","45-54","Christianity, Catholic","3+ times a month","Christianity, non-Evangelical Protestant","3+ times a month","Northeast"
"Yes","Attend religious service;Spend time with family;Spend time with friends;See a movie in a theater;Eat a large meal prepared by family or friends;Order food from a restaurant;Exchange gifts with family and/or friends","24th","Always/almost always","Yes, but they didn't say they were from Santa",NA,"Cookies","Wine","Bread rolls;Chicken;Macaroni and cheese","Stressful drinking Religion","","",NA,"","Female","18-24","Atheist/agnostic","Rarely","Christianity, Evangelical","3+ times a month","Midwest"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Always/almost always","Yes, and they claimed they were from Santa",NA,"Cookies","Eggnog","","Fun overdone love","","",NA,"","Female","45-54","Christianity, Catholic","3+ times a month","Christianity, Catholic","3+ times a month","Midwest"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","24th","Always/almost always","Yes, and they claimed they were from Santa",10,"Cookies","Champagne;Wine","Bread rolls;Ham","Family decorating joy","","",NA,"","Female","25-34","Christianity, Catholic","Rarely","Christianity, Catholic","3+ times a month","Midwest"
"No","","","","",NA,"","","","","Order food from a restaurant","Yes, but they didn't say they were from Santa",NA,"Waste of time","Female","55+","Atheist/agnostic","Never","Christianity, other","3+ times a month","Midwest"
"Yes","See a movie in a theater","Both are about the same","Not anymore","Yes, and they claimed they were from Santa",12,"Candy Canes;Cookies;Pie (any)","Eggnog","Bread rolls;Ham;Macaroni and cheese;Mashed potatoes;Stuffing/Dressing","Another year gone","","",NA,"","Female","45-54","Other","Never","Christianity, Catholic","3+ times a month","Southeast"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","Both are about the same","Not anymore","Yes, but they didn't say they were from Santa",NA,"Cookies;Pie (any)","Eggnog;Wine","Bread rolls;Mashed potatoes;Stuffing/Dressing","Merry family fun","","",NA,"","Male","25-34","Atheist/agnostic","Never","Christianity, Catholic","3+ times a month","Southeast"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Always/almost always","Yes, but they didn't say they were from Santa",NA,"Christmas cake/fruit cake;Cookies","Apple cider","Bread rolls;Ham;Macaroni and cheese;Mashed potatoes","Love and family","","",NA,"","Female","55+","Christianity, other","1-2 times a month","Christianity, non-Evangelical Protestant","3+ times a month","Southeast"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Sometimes","Yes, but they didn't say they were from Santa",NA,"Candy Canes;Cookies;Pie (any)","","Bread rolls;Ham;Macaroni and cheese;Mashed potatoes;Stuffing/Dressing;Turkey","Celebrate Christ birth","","",NA,"","Male","55+","Christianity, non-Evangelical Protestant","3+ times a month","Christianity, non-Evangelical Protestant","3+ times a month","Southeast"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Always/almost always","Yes, and they claimed they were from Santa",7,"Candy Canes;Cookies;Pie (any)","Apple cider;Eggnog","Bread rolls;Mashed potatoes;Stuffing/Dressing;Turkey","Happy family celebration","","",NA,"","Female","55+","Christianity, non-Evangelical Protestant","3+ times a month","Christianity, Catholic","3+ times a month","Midwest"
"Yes","Attend religious service;Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","Both are about the same","Always/almost always","Yes, but they didn't say they were from Santa",NA,"Candy Canes;Pie (any)","","","family relaxing comfort","","",NA,"","Female","18-24","Atheist/agnostic","Rarely","Christianity, Catholic","3+ times a month","Southwest"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Sometimes","Yes, and they claimed they were from Santa",10,"Cookies;Pie (any)","Champagne;Wine","Bread rolls;Ham;Mashed potatoes;Stuffing/Dressing;Turkey","love giving family","","",NA,"","Female","45-54","Christianity, other","Rarely","Christianity, Catholic","Rarely","Midwest"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Always/almost always","Yes, but they didn't say they were from Santa",NA,"Christmas cake/fruit cake;Pie (any);Pie (pecan);Pie (sweet potato)","Eggnog","Chicken;Ham;Stuffing/Dressing","I love family","","",NA,"","Female","55+","Christianity, Evangelical","3+ times a month","Christianity, other","3+ times a month","Southeast"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","Both are about the same","Never","Yes, but they didn't say they were from Santa",NA,"Gingerbread;Pie (any)","Champagne;Wine","Chicken;Fish;Mashed potatoes;Prime Rib","Snow Coziness Decorations","","",NA,"","Female","18-24","Atheist/agnostic","Rarely","Christianity, Catholic","Rarely","I do not live in the United States"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","Both are about the same","Always/almost always","Yes, and they claimed they were from Santa",7,"Cookies","Wine","","christ family rituals","","",NA,"","Male","25-34","Christianity, Evangelical","3+ times a month","Christianity, Evangelical","3+ times a month","Midwest"
